player,team,games_played,mpg,ppg,rpg,apg,espn_id
Steele Venters,Gonzaga,27,15.0,5.0,1.3,1.0,4592579
Noah Haaland,Gonzaga,10,4.4,2.0,1.1,0.1,5240588
Ismaila Diagne,Gonzaga,26,7.3,1.2,2.6,0.2,5240587
Joaquim ArauzMoore,Gonzaga,8,2.3,0.8,0.4,0.1,5176259
Cade Orness,Gonzaga,8,2.5,0.4,0.1,0.1,5240584
Isaac Johnson,Hawaii,32,21.1,14.1,5.8,1.1,4898118
Dre Bullock,Hawaii,32,28.1,13.5,5.8,1.9,5106877
Harry Rouhliadeff,Hawaii,30,25.3,10.8,5.0,1.4,5107204
Gytis Nemeiksa,Hawaii,32,23.9,9.3,4.9,1.0,5175369
Isaac Finlinson,Hawaii,32,22.4,9.1,3.7,0.7,5105472
Hunter Erickson,Hawaii,32,31.6,8.5,3.9,3.8,4701217
Isaiah Kerr,Hawaii,30,20.5,6.3,2.4,1.2,5107841
Aaron Hunkin-Claytor,Hawaii,17,28.1,6.0,2.8,3.9,5241898
Yacine Toumi,Hawaii,29,10.5,4.4,2.6,0.4,4702598
Jalen Myers,Hawaii,7,9.0,2.9,0.9,0.6,5107607
AJ Economou,Hawaii,18,5.8,1.5,0.7,0.1,5241895
Hunter Carter,Hawaii,13,4.0,1.1,0.7,0.2,5254318
Terry Anderson,High Point,34,26.9,16.0,6.0,1.6,5241590
Rob Martin,High Point,33,26.8,15.3,1.9,3.7,5107904
Cam'Ron Fletcher,High Point,25,21.2,12.7,6.9,0.9,4432182
Owen Aquino,High Point,34,26.1,9.4,5.9,2.4,5242131
Conrad Martinez,High Point,34,22.5,9.3,1.5,3.4,5174957
Scotty Washington,High Point,34,19.3,8.7,2.9,0.9,4896852
Braden Hausen,High Point,34,20.6,6.8,3.0,1.2,5241592
Chase Johnston,High Point,32,12.6,6.1,0.8,0.5,4612709
Vincent Brady II,High Point,24,16.8,5.4,1.9,1.7,5106755
Josh Ibukunoluwa,High Point,16,6.4,2.8,2.0,0.3,5241594
Caden Miller,High Point,26,7.1,2.8,2.1,0.3,5313503
Babacar Diallo,High Point,17,7.5,2.3,0.7,0.6,4711705
Youssouf Singare,High Point,30,7.7,1.4,2.0,0.1,5102797
David Fonville,High Point,11,3.1,0.5,0.3,0.2,5241591
Birgir Irving,High Point,10,1.8,0.3,0.1,0.1,5241595
Cruz Davis,Hofstra,34,37.8,20.2,3.7,4.6,5107198
Preston Edmead,Hofstra,34,33.8,15.9,3.5,4.4,5236222
Biggie Patterson,Hofstra,30,20.9,9.5,5.6,0.4,5241495
German Plotnikov,Hofstra,32,32.3,9.3,3.4,0.8,5105719
Joshua DeCady,Hofstra,32,24.2,6.3,3.4,0.6,5239632
Silas Sunday,Hofstra,34,19.7,5.2,6.9,0.7,4684984
Victory Onuetu,Hofstra,34,17.9,4.7,6.9,0.4,5312163
