player,team,espn_id,entry,r64,r32,s16,e8,f4,championship,games_played,total_points,alive,in_tournament_injury
Joseph Pinion,South Florida,4699760,Elizabeth,27,,,,,,1,27,0,
Izaiyah Nelson,South Florida,5107251,Terry,22,,,,,,1,22,0,
Wes Enis,South Florida,5313560,Zach,4,,,,,,1,4,0,
Dylan Darling,St. John's,5105658,Alana & Gary,6,2,8,,,,3,16,0,
Ian Jackson,St. John's,4869770,Griffin,9,10,5,,,,3,24,0,
Joson Sanon,St. John's,5142625,Merbers,6,3,0,,,,3,9,0,
Dillon Mitchell,St. John's,5106283,Michael D.,7,8,13,,,,3,28,0,
Bryce Hopkins,St. John's,4565698,Spike,13,18,15,,,,3,46,0,
Oziyah Sellers,St. John's,5105642,Spike,11,3,5,,,,3,19,0,
Zuby Ejiofor,St. John's,5106262,Zach,14,18,17,,,,3,49,0,
Mikey Lewis,Saint Mary's,5240980,Matt D.,5,,,,,,1,5,0,
Joshua Dent,Saint Mary's,5183875,Zach,18,,,,,,1,18,0,
Xavier Edmonds,TCU,5311928,Elizabeth,16,12,,,,,2,28,0,
Jayden Pierre,TCU,5105619,Michael D.,4,4,,,,,2,8,0,
David Punch,TCU,5164368,Terry,16,4,,,,,2,20,0,
Nate Ament,Tennessee,5164559,Alana & Gary,0,16,18,7,,,4,41,0,
Felix Okpara,Tennessee,5105841,Merbers,12,7,12,10,,,4,41,0,
J.P. Estrella,Tennessee,5093142,Michael D.,14,10,6,7,,,4,37,0,
Ja'Kobi Gillespie,Tennessee,5107968,Michael D.,29,21,16,21,,,4,87,0,
Dailyn Swain,Texas,4848625,Lucas,14,11,15,,,,3,40,0,
Matas Vokietaitis,Texas,5239838,Lucas,23,17,9,,,,3,49,0,
Tramon Mark,Texas,4432243,Lucas,19,6,29,,,,3,54,0,
Rashaun Agee,Texas A&M,4593815,Lucas,22,7,,,,,2,29,0,
Rylan Griffen,Texas A&M,4683682,Spike,4,6,,,,,2,10,0,
Donovan Atwell,Texas Tech,5107355,Alana & Gary,15,12,,,,,2,27,0,
Jaylen Petty,Texas Tech,5221321,Bruce & Ryan,24,9,,,,,2,33,0,
Christian Anderson,Texas Tech,5060701,Griffin,18,7,,,,,2,25,0,
LeJuan Watts,Texas Tech,5107312,Griffin,14,16,,,,,2,30,0,
Riley Kugel,UCF,5105529,Elizabeth,13,,,,,,1,13,0,
Jamichael Stillwell,UCF,5241667,Matt D.,10,,,,,,1,10,0,
Skyy Clark,UCLA,5105794,Alana & Gary,8,11,,,,,2,19,0,
Trent Perry,UCLA,5060706,Matt D.,15,5,,,,,2,20,0,
Tyler Bilodeau,UCLA,5105626,Matt D.,0,0,,,,,2,0,0,
Eric Dailey Jr.,UCLA,4610012,Merbers,20,12,,,,,2,32,0,
Donovan Dent,UCLA,5107782,Rich,10,11,,,,,2,21,0,
Silas Demary Jr.,Connecticut,5054083,Bruce & Ryan,0,2,2,11,7,2,6,24,1,
Alex Karaban,Connecticut,4917149,Griffin,22,27,17,5,9,17,6,97,1,
Braylon Mullins,Connecticut,5196916,Griffin,12,17,8,10,15,11,6,73,1,
Eric Reibe,Connecticut,5152763,Griffin,0,4,0,2,0,0,6,6,1,
Solo Ball,Connecticut,4895737,Schlossbergs,9,0,12,10,13,11,6,55,1,
Jayden Ross,Connecticut,4895753,Terry,2,11,1,0,7,3,6,24,1,
Tarris Reed Jr.,Connecticut,5105809,Terry,31,10,20,26,17,13,6,117,1,
Mason Falslev,Utah St.,5107864,Elizabeth,22,8,,,,,2,30,0,
MJ Collins Jr.,Utah St.,5105401,Grace & Pat,20,12,,,,,2,32,0,
AK Okereke,Vanderbilt,5114350,Elizabeth,7,9,,,,,2,16,0,
Duke Miles,Vanderbilt,4702049,John & Claire,13,9,,,,,2,22,0,
Jalen Washington,Vanderbilt,4433625,Rich,4,6,,,,,2,10,0,
Tyler Nickel,Vanderbilt,4838721,Rich,12,16,,,,,2,28,0,
Tyler Tanner,Vanderbilt,5187600,Rich,26,27,,,,,2,53,0,
Devin McGlockton,Vanderbilt,4791227,Schlossbergs,12,3,,,,,2,15,0,
Lazar Djokovic,VCU,5175368,Elizabeth,15,2,,,,,2,17,0,
Jadrian Tracey,VCU,4701030,Lucas,0,7,,,,,2,7,0,
Terrence Hill Jr.,VCU,5060712,Lucas,34,17,,,,,2,51,0,
Acaden Lewis,Villanova,5144105,Bruce & Ryan,7,,,,,,1,7,0,
Bryce Lindsay,Villanova,5174291,Matt D.,25,,,,,,1,25,0,
Tyler Perkins,Villanova,5182412,Michael D.,15,,,,,,1,15,0,
Duke Brennan,Villanova,4870569,Rich,15,,,,,,1,15,0,
Malik Thomas,Virginia,4683758,Grace & Pat,11,12,,,,,2,23,0,
Sam Lewis,Virginia,5176232,Grace & Pat,12,5,,,,,2,17,0,
Chance Mallory,Virginia,5150404,Rich,2,10,,,,,2,12,0,
Ugonna Onyenso,Virginia,5037878,Schlossbergs,2,4,,,,,2,6,0,
Jacari White,Virginia,5107274,Spike,26,10,,,,,2,36,0,
Johann Grunloh,Virginia,5311844,Spike,8,2,,,,,2,10,0,
Thijs De Ridder,Virginia,5311846,Spike,10,22,,,,,2,32,0,
John Blackwell,Wisconsin,5103630,Elizabeth,22,,,,,,1,22,0,
Nick Boyd,Wisconsin,4702654,Elizabeth,27,,,,,,1,27,0,
Austin Rapp,Wisconsin,5240971,John & Claire,12,,,,,,1,12,0,
Braeden Carrington,Wisconsin,5105820,John & Claire,5,,,,,,1,5,0,
Andrew Rohde,Wisconsin,5109019,Schlossbergs,6,,,,,,1,6,0,
Nolan Winter,Wisconsin,4895783,Spike,8,,,,,,1,8,0,
