rank,player,team,seed,region,ppg,expected_games,injury_status,projected_points
271,Travis Harper II,Tennessee St.,15,Midwest,17.3,1.010104041648156,HEALTHY,13.6
272,Malachi Moreno,Kentucky,7,Midwest,8.0,1.715176414913244,HEALTHY,13.5
273,Jaland Lowe,Kentucky,7,Midwest,8.0,1.715176414913244,HEALTHY,13.5
274,Dillan Shaw,Saint Mary's,7,South,7.5,1.8292661416347202,HEALTHY,13.5
275,Gavin Doty,Siena,16,East,17.9,1.0044571281858066,HEALTHY,13.4
276,Quentin Jones,Saint Louis,9,Midwest,9.2,1.473201078512114,HEALTHY,13.3
277,Samet Yigitoglu,SMU,11,Midwest,10.8,1.332089930268756,HEALTHY,13.3
278,Jestin Porter,Clemson,8,South,9.6,1.4382896380945465,HEALTHY,13.3
279,Cooper Koch,Iowa,9,South,7.7,1.7814513301612496,HEALTHY,13.3
280,Mackenzie Mgbako,Texas A&M,10,South,10.4,1.4118253978526154,HEALTHY,13.3
281,Rubén Dominguez,Texas A&M,10,South,10.3,1.4118253978526154,HEALTHY,13.2
282,Leon Bond III,Northern Iowa,12,East,11.9,1.1553564921640362,HEALTHY,13.1
283,Ishan Sharma,Saint Louis,9,Midwest,9.1,1.473201078512114,HEALTHY,13.1
284,Javohn Garcia,McNeese,12,South,12.0,1.1361712716664654,HEALTHY,13.0
285,Pop Isaacs,Texas A&M,10,South,10.1,1.4118253978526154,HEALTHY,13.0
286,Victor Valdes,Troy,13,South,14.8,1.0371344851192648,HEALTHY,12.9
287,Ernest Udeh Jr.,Miami FL,7,West,6.9,1.8666422793359014,HEALTHY,12.9
288,Damari Wheeler-Thomas,North Dakota St.,14,East,14.4,1.0451906615013515,HEALTHY,12.9
289,Thomas Dowd,Troy,13,South,14.8,1.0371344851192648,HEALTHY,12.9
290,Brandon Jennings,VCU,11,South,8.9,1.4760090682150464,HEALTHY,12.8
291,Sash Gavalyugov,Santa Clara,10,Midwest,8.8,1.5274404873065817,HEALTHY,12.7
292,Nick Davidson,Clemson,8,South,9.1,1.4382896380945465,HEALTHY,12.6
293,Cale Jacobsen,Nebraska,4,South,4.8,2.6647297297461723,HEALTHY,12.5
294,Cam Manyawu,Iowa,9,South,7.1,1.7814513301612496,HEALTHY,12.3
295,Will Hornseth,Northern Iowa,12,East,11.2,1.1553564921640362,HEALTHY,12.3
296,Khani Rooths,Louisville,6,East,5.5,2.314394940181925,HEALTHY,12.2
297,Nyk Lewis,VCU,11,South,8.5,1.4760090682150464,HEALTHY,12.2
298,T.O. Barrett,Missouri,10,West,8.9,1.3745380460522134,HEALTHY,12.2
299,Martel Williams,Cal Baptist,13,East,12.7,1.0838739437059797,HEALTHY,12.2
300,Evan Mahaffey,Akron,12,Midwest,10.2,1.2392503962740795,HEALTHY,12.1
301,Nick Pringle,Arkansas,4,West,4.7,2.730776269440317,HEALTHY,12.1
302,Anthony Robinson II,Missouri,10,West,8.8,1.3745380460522134,HEALTHY,12.1
303,Aleksas Bieliauskas,Wisconsin,5,West,5.0,2.359319689960756,HEALTHY,11.9
304,Dante Allen,Miami FL,7,West,6.4,1.8666422793359014,HEALTHY,11.9
305,Devin Tillis,Virginia,3,Midwest,4.3,2.8240741392968687,HEALTHY,11.8
306,Drake Allen,Utah St.,9,West,7.7,1.616518568726879,HEALTHY,11.8
307,Jacob Crews,Missouri,10,West,8.6,1.3745380460522134,HEALTHY,11.8
308,Michael Cooper,Wright St.,14,Midwest,13.4,1.036398630385347,HEALTHY,11.8
309,Hank Alvey,Lehigh,16,South,15.0,1.0025418670906272,HEALTHY,11.8
310,Ace Buckner,Clemson,8,South,8.4,1.4382896380945465,HEALTHY,11.7
311,Brandon Noel,Ohio St.,8,East,7.1,1.7609865875295259,HEALTHY,11.7
312,Bukky Oboye,Santa Clara,10,Midwest,8.0,1.5274404873065817,HEALTHY,11.6
313,Kolby King,Utah St.,9,West,7.6,1.616518568726879,HEALTHY,11.6
314,Cooper Bowser,Furman,15,East,14.0,1.0183287316112681,HEALTHY,11.5
315,Keba Keita,BYU,6,West,6.3,1.824214581313023,HEALTHY,11.4
316,Elmarko Jackson,Kansas,4,East,4.9,2.5098160728168875,HEALTHY,11.4
317,Trey Fort,Michigan St.,3,East,3.8,3.0781569928041943,HEALTHY,11.4
